TTD Target ID	Target Name	Target Type	Uniprot ID
TTDI02068	Fc-epsilon-RII (CD23)	Clinical trial target	P06734
TTDI02069	Free fatty acid receptor 2	Clinical trial target	O15552
TTDI02070	FGF-18 ligand	Clinical trial target	O76093
TTDI02071	FGF-21 ligand	Discontinued target	Q9NSA1
TTDI02072	FGF-23 ligand	Clinical trial target	Q9GZV9
TTDI02073	Folate receptor gamma	Clinical trial target	P41439
TTDI02074	Galactoside 3(4)-L-fucosyltransferase	Clinical trial target	P21217
TTDI02075	Frizzled-7 receptor	Clinical trial target	O75084
TTDI02076	Gastrin	Clinical trial target	P01350
TTDI02077	Human cytomegalovirus glycoprotein B	Clinical trial target	P06473
TTDI02078	Growth differentiation factor-5	Clinical trial target	P43026
TTDI02079	Gelsolin	Clinical trial target	P06396
TTDI02080	N-acetylmannosamine kinase	Clinical trial target	Q9Y223
TTDI02081	Glioma pathogenesis-related protein 1	Clinical trial target	P48060
TTDI02082	Glutamate decarboxylase	Clinical trial target	P15104
TTDI02083	CD42b	Clinical trial target	P07359
TTDI02084	Glypican-3	Clinical trial target	P51654
TTDI02085	Platelet glycoprotein VI	Clinical trial target	Q9HCN6
TTDI02086	Mortalin	Clinical trial target	P38646
TTDI02087	78 kDa glucose-regulated protein	Clinical trial target	P11021
TTDI02088	Glutathione S-transferase P	Clinical trial target	P09211
TTDI02089	Histone H1.3	Clinical trial target	P16402
TTDI02090	Hepcidin	Clinical trial target	P81172
TTDI02091	CD74	Research target	P04233
TTDI02092	Staphylococcus aureus alpha hemolysin	Clinical trial target	P09616
TTDI02093	Interleukin-15 receptor subunit alpha	Clinical trial target	Q13261
TTDI02094	Isocitrate dehydrogenase [NADP] cytoplasmic	Clinical trial target	O75874
TTDI02095	Isocitrate dehydrogenase (IDH2)	Clinical trial target	P48735
TTDI02096	Interferon alpha 5 ligand	Clinical trial target	P01569
TTDI02097	Interferon omega ligand	Clinical trial target	P05000
TTDI02099	Interleukin-21 receptor	Clinical trial target	Q9HBE5
TTDI02100	Interleukin-31 ligand	Clinical trial target	Q6EBC2
TTDI02101	Interleukin-33	Clinical trial target	O95760
TTDI02102	Importin beta	Clinical trial target	Q14974
TTDI02103	Staphylococcus aureus iron-regulated surface determinant protein B	Clinical trial target	Q8NX66
TTDI02104	Lysine specific histone demethylase 1	Clinical trial target	O60341
TTDI02105	CD158a	Clinical trial target	P43626
TTDI02106	CD158b1	Clinical trial target	P43627
TTDI02107	Killer cell immunoglobulin-like receptor 2DL3	Clinical trial target	P43628
TTDI02108	Antigen KI-67	Clinical trial target	P46013
TTDI02109	Kruppel like factor 4	Clinical trial target	O43474
TTDI02110	Pyruvate kinase M2	Research target	P14618
TTDI02111	Lecithin-cholesterol acyltransferase	Clinical trial target	P04180
TTDI02112	Yersinia pestis virulence associated V antigen	Clinical trial target	P0C7U7
TTDI02113	Leucine-rich repeat neuronal protein 1	Clinical trial target	Q96FE5
TTDI02114	Epstein-Barr virus Latent membrane protein 2	Clinical trial target	P13285
TTDI02115	Lysyl oxidase homolog 2	Clinical trial target	Q9Y4K0
TTDI02116	Lysophosphatidate-3 receptor	Clinical trial target	Q9UBY5
TTDI02117	Lymphocyte antigen 75	Clinical trial target	O60449
TTDI02118	Lysozyme	Clinical trial target	P61626
TTDI02119	MAPKAP kinase 2	Research target	P49137
TTDI02120	MART-1 melanoma antigen	Clinical trial target	Q16655
TTDI02121	MARCKS protein	Clinical trial target	P29966
TTDI02122	Mannose binding protein	Clinical trial target	P11226
TTDI02123	Melanocortin MC5 receptor	Clinical trial target	P33032
TTDI02124	Tyrosine-protein kinase MELK	Clinical trial target	Q14680
TTDI02125	Mycobacterium tuberculosis membrane protein mmpL3	Clinical trial target	P9WJV5
TTDI02126	CI Man-6-P receptor	Clinical trial target	P11717
TTDI02127	Mas-related gene 2 (MRGX2)	Clinical trial target	Q96LB1
TTDI02128	Beta microseminoprotein	Clinical trial target	P08118
TTDI02129	Plasmodium falciparum merozoite surface protein 1	Clinical trial target	P04933
TTDI02130	Mucin 15	Clinical trial target	Q8N387
TTDI02131	Myosin-7	Clinical trial target	P12883
TTDI02132	Nicotinamide phosphoribosyltransferase	Clinical trial target	P43490
TTDI02133	Respiratory syncytial virus N protein	Clinical trial target	P03418
TTDI02134	Notch-2 receptor	Clinical trial target	Q04721
TTDI02135	Notch-3 receptor	Clinical trial target	Q9UM47
TTDI02136	NADPH oxidase 4	Clinical trial target	Q9NPH5
TTDI02137	Nucleophosmin	Clinical trial target	P06748
TTDI02138	Solute carrier family 34 member 2	Clinical trial target	O95436
TTDI02139	Neuronal pentraxin-2	Clinical trial target	P47972
TTDI02140	TrkC receptor	Clinical trial target	Q16288
TTDI02141	Nucleolin	Clinical trial target	P19338
TTDI02142	Pseudomonas PcrV protein type III	Clinical trial target	O30527
TTDI02143	Membrane glycoprotein OX2	Research target	P41217
TTDI02145	PAK-4 protein kinase	Research target	O96013
TTDI02146	Programmed cell death ligand 2	Clinical trial target	Q16342
TTDI02147	Phosphodiesterase (PDE) 3B	Clinical trial target	Q13370
TTDI02148	Phosphodiesterase (PDE) 9	Clinical trial target	O76083
TTDI02149	Platelet-derived growth factor D	Clinical trial target	Q9GZP0
TTDI02150	Opioid receptor sigma 2	Clinical trial target	O00264
TTDI02151	PIM-3 protein kinase	Clinical trial target	Q86V86
TTDI02152	Porcupine (PORCN)	Clinical trial target	Q9H237
TTDI02153	Tumor expressed melanoma antigen	Clinical trial target	P78395
TTDI02154	Prominin 1	Clinical trial target	O43490
TTDI02155	Protein tyrosine phosphatase beta	Clinical trial target	P23467
TTDI02156	Glutaminyl cyclase	Clinical trial target	Q16769
TTDI02157	HIV REV protein	Clinical trial target	P04618
TTDI02158	AGS-16	Clinical trial target	O15492
TTDI02159	Transforming protein RhoA	Clinical trial target	P61586
TTDI02160	Ribosome-inactivating protein alpha-trichosanthin	Clinical trial target	P09989
TTDI02161	Ring finger protein	Clinical trial target	Q969K3
TTDI02162	Rho associated protein kinase 2	Clinical trial target	O75116
TTDI02163	Roof plate-specific spondin 1	Clinical trial target	Q2MKA7
TTDI02164	Reticulon 4	Clinical trial target	Q9NQC3
TTDI02165	S100 calcium-binding protein B	Clinical trial target	P04271
TTDI02166	S100 calcium binding protein A4	Clinical trial target	P26447
TTDI02167	Sphingosine 1-phosphate receptor 5	Clinical trial target	Q9H228
TTDI02168	Zinc transporter ZIP6	Clinical trial target	Q13433
TTDI02169	Ganglioside GM2 activator	Clinical trial target	P17900
TTDI02170	Syndecan-1	Clinical trial target	P18827
TTDI02171	Semaphorin-4D	Clinical trial target	Q92854
TTDI02172	Sarcoglycan gamma	Clinical trial target	Q13326
TTDI02173	Sphingosine 1 phosphate lyase 1	Discontinued target	O95470
TTDI02174	SH2 domain inositol phosphatase	Clinical trial target	Q92835
TTDI02175	SLIT and NTRK-like family member 6 (SLITRK6)	Clinical trial target	Q9H5Y7
TTDI02176	Survival motor neuron protein	Clinical trial target	Q16637
TTDI02177	Mitochondrial manganese superoxide dismutase (MnSOD)	Clinical trial target	P04179
TTDI02178	Transcription factor Sp1	Clinical trial target	P08047
TTDI02179	Sphingosine kinase 1	Discontinued target	Q9NYA1
TTDI02180	N-sulphoglucosamine sulphohydrolase	Clinical trial target	P51688
TTDI02181	SPTBN1	Clinical trial target	Q01082
TTDI02182	Sequestosome-1 p62	Clinical trial target	Q13501
TTDI02183	Facilitates chromatin transcription complex (FACT)	Clinical trial target	Q9Y5B9; Q08945
TTDI02184	STAT-3	Research target	P40763
TTDI02185	Fungi/Bacteria isoleucyl t-RNA synthetase	Discontinued target	P09436
TTDI02186	Alpha-synuclein	Clinical trial target	P37840
TTDI02187	Valosin-containing protein p97	Clinical trial target	P55072
TTDI02188	Trefoil factor-1	Clinical trial target	P04155
TTDI02189	TGF beta-3 ligand	Clinical trial target	P10600
TTDI02190	TGF-beta type II receptor	Clinical trial target	P37173
TTDI02191	Toll-like receptor 5	Clinical trial target	O60602
TTDI02192	Toll-like receptor 6	Clinical trial target	Q9Y2C9
TTDI02193	TNF related apoptosis inducing ligand	Clinical trial target	P50591
TTDI02194	OX40 ligand	Clinical trial target	P23510
TTDI02195	Fast skeletal muscle troponin complex	Clinical trial target	P48788; P45378; P02585
TTDI02196	TNF superfamily receptor 12A	Clinical trial target	Q9NP84
TTDI02197	Activation-inducible TNFR family receptor	Clinical trial target	Q9Y5U5
TTDI02198	Lymphotoxin beta receptor	Clinical trial target	P36941
TTDI02199	CD95	Clinical trial target	P25445
TTDI02200	Tumor susceptibility gene protein 101	Clinical trial target	Q99816
TTDI02201	Thrombospondin-1 ligand	Clinical trial target	P07996
TTDI02202	Tumor suppressor candidate 2	Clinical trial target	O75896
TTDI02203	DHICA oxidase	Clinical trial target	P17643
TTDI02204	Uteroglobin	Clinical trial target	P11684
TTDI02205	Utrophin	Clinical trial target	P46939
TTDI02206	Human papillomavirus E6 protein	Clinical trial target	P03126
TTDI02207	Human papillomavirus E7 protein	Clinical trial target	P06465
TTDI02208	VIP 2 receptor	Clinical trial target	P41587
TTDI02209	HIV p17 matrix protein	Clinical trial target	P04591 (2-132)
TTDI02210	Pituitary adenylate cyclase-activating polypeptide 38	Clinical trial target	P18509 (132-169)
TTDI02211	Pancreatic hormone ligand	Clinical trial target	P01298 (30-65)
TTDI02212	HIV p24 capsid protein	Clinical trial target	P03366 (133-363)
TTDI02213	HIV p7 nucleocapsid protein	Clinical trial target	P03366 (378-432)
TTDI02214	Hepatitis C virus protein NS4B	Research target	P26664 (1712-1972)
TTDI02215	Hepatitis C virus E2 glycoprotein	Clinical trial target	P26662 (384-746)
TTDI02216	Melanoma-associated antigen C1	Clinical trial target	O60732
TTDI02217	Melanoma-associated antigen C2	Clinical trial target	Q9UBF1
TTDI02218	Bone morphogenetic protein-9 ligand	Clinical trial target	Q9UK05
TTDI02219	Beta-nerve growth factor	Discontinued target	P01138
TTDI02220	Sarcoglycan alpha	Clinical trial target	Q16586
TTDI02221	Wiskott-Aldrich syndrome protein	Clinical trial target	P42768
TTDI02222	ATP-binding cassette sub-family A member 4 (ABCA4)	Clinical trial target	P78363
TTDI02223	Kinetochore protein Nuf2	Clinical trial target	Q9BZD4
TTDI02224	Quinone oxidoreductase	Clinical trial target	Q08257
TTDI02226	Hedgehog protein	Research target	Q15465
TTDI02227	Dibasic-processing enzyme (Furin)	Clinical trial target	P09958
TTDI02228	Insulin-like growth factor-1 ligand	Research target	P05019
TTDI02229	Opioid growth factor receptor	Clinical trial target	Q9NZT2
TTDI02230	Mycobacterium tuberculosis antigen complex 85A	Clinical trial target	P9WQP3
TTDI02231	Pyruvate dehydrogenase kinase isoform 2 (PDHK2)	Clinical trial target	Q15119
TTDI02232	S-nitrosoglutathione reductase	Clinical trial target	P16152
TTDI02233	mRNA of influenza virus Env protein	Clinical trial target	O70902
TTDI02234	mRNA of Heat shock protein 27	Clinical trial target	Q12988
TTDI02235	mRNA of VEGF	Discontinued target	P15692
TTDI02236	mRNA of CCR5	Clinical trial target	P51681
TTDI02237	mRNA of SYK	Research target	P43405
TTDI02238	mRNA of glucocorticoid receptor	Clinical trial target	P04150
TTDI02239	mRNA of PLK1	Research target	P53350
TTDI02240	mRNA of ANGPTL3	Clinical trial target	Q9Y5C1
TTDI02241	mRNA of glucagon receptor	Clinical trial target	P47871
TTDI02242	mRNA of ebola virus VP35	Clinical trial target	Q5XX07
TTDI02243	mRNA of KIF11	Clinical trial target	P52732
TTDI02244	mRNA of Growth hormone receptor	Clinical trial target	P10912
TTDI02245	mRNA of Insulin-like growth factor 1 receptor	Clinical trial target	P08069
TTDI02246	mRNA of ebola virus VP24	Clinical trial target	Q5XX02
TTDI02247	mRNA of GRB2	Clinical trial target	P62993
TTDI02248	mRNA of Transferrin	Clinical trial target	P02787
TTDI02249	mRNA of EGFR	Clinical trial target	P00533
TTDI02250	mRNA of Sodium glucose transporter-2	Clinical trial target	P31639
TTDI02251	mRNA of PCSK9	Clinical trial target	Q8NBP7
TTDI02252	mRNA of Colony stimulating factor-1 receptor	Clinical trial target	P07333
TTDI02253	mRNA of CCR3 chemokine	Clinical trial target	P51677
TTDI02254	mRNA of GM-CSF/IL-3/IL-5 receptor common beta chain	Clinical trial target	P32927
TTDI02255	mRNA of Caspase-2	Clinical trial target	P42575
TTDI02256	mRNA of Beta 2 adrenoceptor	Clinical trial target	P07550
TTDI02257	mRNA of DMPK	Clinical trial target	Q09013
TTDI02259	mRNA of Ribonucleotide reductase R2 component	Clinical trial target	P31350
TTDI02260	mRNA of BCL-2	Clinical trial target	P10415
TTDI02261	mRNA of Plasma kallikrein	Clinical trial target	P03952
TTDI02262	mRNA of CYP3A4	Clinical trial target	P08684
TTDI02265	mRNA of C-myc binding protein	Clinical trial target	Q99417
TTDI02266	mRNA of Apolipoprotein A	Clinical trial target	P08519
TTDI02267	mRNA of marburg virus nucleoprotein NP	Clinical trial target	P27588
TTDI02268	mRNA of Myc proto-oncogene protein	Clinical trial target	P01106
TTDI02269	mRNA of STMN1	Clinical trial target	P16949
TTDI02270	mRNA of Keratin 6A	Clinical trial target	P02538
TTDI02271	ALK tyrosine kinase receptor	Clinical trial target	Q9UM73
TTDI02272	N-acetylgalactosamine 6 sulfatase	Successful target	P34059
TTDI02273	Lyn tyrosine kinase	Clinical trial target	P07948
TTDI02274	MEK-2 protein kinase	Clinical trial target	P36507
TTDI02276	Src tyrosine kinase	Clinical trial target	P12931
TTDI02277	Fyn tyrosine kinase	Clinical trial target	P06241
TTDI02278	Lck tyrosine kinase	Clinical trial target	P06239
TTDI02279	Interleukin-12 subunit p40	Successful target	P29460
TTDI02280	Proto-oncogene c-Met	Clinical trial target	P08581
TTDI02281	Jak3 tyrosine kinase	Clinical trial target	P52333
TTDI02282	VEGF-2 receptor	Successful target	P35968
TTDI02283	Erbb2 tyrosine kinase receptor	Clinical trial target	P04626
TTDI02284	Proto-oncogene B-Raf	Clinical trial target	P15056
TTDI02285	FLT3 tyrosine kinase	Clinical trial target	P36888
TTDI02286	Iduronate 2-sulfatase	Clinical trial target	P22304
TTDI02287	Proto-oncogene c-RAF	Clinical trial target	P04049
TTDI02288	Arylsulfatase B	Successful target	P15848
TTDI02289	C1 esterase inhibitor	Successful target	P05155
TTDI02290	Ret tyrosine kinase receptor	Clinical trial target	P07949
TTDI02291	mRNA of Transthyretin	Clinical trial target	P02766
TTDI02292	mRNA of Apolipoprotein C3	Clinical trial target	P02656
TTDI02294	mRNA of Survival motor neuron protein	Research target	Q16637
TTDI02295	Retinal pigment epithelium protein	Clinical trial target	Q16518
TTDI02296	Interleukin-29 ligand	Clinical trial target	Q8IU54
TTDI02297	Phosphoinositide-3 kinase beta	Clinical trial target	P42338
TTDI02298	mRNA of Nuclear factor kappa B	Clinical trial target	Q00653
TTDI02299	mRNA of Insulin receptor substrate-1	Clinical trial target	P35568
TTDI02300	mRNA of Dystrophin	Clinical trial target	P11532
TTDI02301	Mitochondrial complex I	Clinical trial target	O15239; O43678; O95167; O00483; Q16718; P56556; O95182; P51970; Q16795; O95299; Q86Y39; Q9UI09; Q9P0J0
TTDI02302	CD6	Clinical trial target	P30203
TTDI02303	Lysosomal acid lipase	Clinical trial target	P38571
TTDI02304	Bacterial DNA-directed RNA polymerase beta' chain	Clinical trial target	Q2G0N5
TTDI02305	SLAM family member 7 (SLAMF7) (CS1)	Clinical trial target	Q9NQ25
TTDI02306	mRNA of TGF beta-2 ligand	Clinical trial target	P61812
TTDI02307	Relaxin receptor 1	Clinical trial target	Q9HBX9
TTDI02308	mRNA of BIRC5	Research target	O15392
TTDI02309	Hepatitis C virus non-structural protein 5A	Clinical trial target	P26662 (1973-2420)
TTDI02310	Zonulin	Clinical trial target	P00738
TTDI02311	mRNA of AKT1	Research target	P31749
TTDI02312	Leukocyte proteinase-3	Clinical trial target	P24158
TTDI02313	Proto-oncogene Mas	Clinical trial target	P04201
TTDI02314	Human cytomegalovirus terminase subunit UL56	Clinical trial target	P16724
TTDI02315	Cyclin-dependent kinase-4	Clinical trial target	P11802
TTDI02316	Cyclin-dependent kinase-6	Clinical trial target	Q00534
TTDI02317	PDGF-B ligand	Clinical trial target	P01127
TTDI02318	Interleukin-5 ligand	Clinical trial target	P05113
TTDI02319	Mucin 16	Clinical trial target	Q8WXI7
TTDI02320	Glutamate decarboxylase 2	Clinical trial target	Q05329
TTDI02321	Telomerase	Clinical trial target	O14746
TTDI02322	Aurora kinase B	Research target	Q96GD4
TTDI02323	Keratinocyte growth factor 2	Clinical trial target	O15520
TTDI02324	Myelin basic protein	Clinical trial target	P02686
TTDI02325	mRNA of p53	Research target	P04637
TTDI02326	Chemokine receptor 3	Clinical trial target	P25106
TTDI02327	ADAM 10	Clinical trial target	O14672
TTDI02328	mRNA of Hypoxia inducible factor-1 alpha	Research target	Q16665
TTDI02329	CMV 65kDa lower matrix phosphoprotein	Clinical trial target	P06725
TTDI02330	Tissue factor pathway inhibitor	Clinical trial target	P10646
TTDI02331	Melanocytes lineage-specific antigen GP100	Clinical trial target	P40967
TTDI02332	Picornavirus capsid protein VP1	Clinical trial target	Q83884
TTDI02333	X-linked inhibitor of apoptosis protein	Clinical trial target	P98170
TTDI02334	Superoxide dismutase 1	Clinical trial target	P00441
TTDI02335	Interleukin-24 ligand	Clinical trial target	Q13007
TTDI02336	Interleukin-23 receptor	Clinical trial target	Q5VWK5
TTDI02337	HLA class I antigen B-7	Clinical trial target	P01889
TTDI02338	Melanoma associated antigen 1	Clinical trial target	P43355
TTDI02339	MHC class II antigen DR (HLA-DR)	Clinical trial target	P01903; P01911; P79483; P13762; Q30154
TTDI02341	Interleukin-22 ligand	Clinical trial target	Q9GZX6
TTDI02342	Gastric inhibitory polypeptide receptor	Clinical trial target	P48546
TTDI02343	NKG2 D activating NK receptor	Clinical trial target	P26718
TTDI02344	mRNA of Ribonucleotide reductase R1 component	Clinical trial target	P23921
TTDI02345	Enterobacteria phage shiga like toxin II B subunit	Clinical trial target	P09386
TTDI02346	Nucleolin (aptamer)	Clinical trial target	P19338
TTDI02347	mRNA of CD49d	Clinical trial target	P13612
TTDI02348	Complement C1q subcomponent	Discontinued target	P02745; P02746
TTDI02350	Fatty acid binding protein	Discontinued target	P00505
TTDI02351	Apolipoprotein A-IV	Discontinued target	P06727
TTDI02352	Cadherin-11	Discontinued target	P55287
TTDI02353	Cathepsin V	Discontinued target	O60911
TTDI02354	Complement Factor B	Discontinued target	P00751
TTDI02355	Complement factor I	Discontinued target	P05156
TTDI02356	Chitinase	Discontinued target	Q13231
TTDI02357	Transcriptional repressor CTCFL	Discontinued target	Q8NI51
TTDI02358	Glycogen synthase kinase-3	Discontinued target	P49840
TTDI02359	Porphobilinogen deaminase	Discontinued target	P08397
TTDI02360	Laminin gamma-2 subunit	Discontinued target	Q13753
TTDI02361	Leukemia inhibitory factor receptor	Discontinued target	P42702
TTDI02362	Membrane cofactor protein	Discontinued target	P15529
TTDI02363	Neurotrophin-4 ligand	Discontinued target	P34130
TTDI02364	D-amino acid oxidase	Discontinued target	P14920
TTDI02365	Ras-related C3 botulinum toxin substrate 1	Discontinued target	P63000
TTDI02366	Plasma retinol-binding protein	Discontinued target	P02753
TTDI02367	Glycine transporter-2	Discontinued target	Q9Y345
TTDI02368	Alanine glyoxylate aminotransferase	Discontinued target	P21549
TTDI02369	Translationally controlled tumor protein	Discontinued target	P13693
TTDI02370	HIV virion infectivity factor	Discontinued target	P69723
TTDI02371	Zap70 tyrosine kinase	Discontinued target	P43403
TTDI02372	Apoptosis regulator BAK	Discontinued target	Q16611
TTDI02373	Transferrin	Discontinued target	P02787
TTDI02374	Golgi alpha-mannosidase II	Discontinued target	Q16706
TTDI02375	Complement factor P	Discontinued target	P27918
TTDI02377	Epha4 tyrosine kinase receptor	Discontinued target	P54764
TTDI02378	mRNA of protein kinase A Rialpha regulatory subunit	Discontinued target	P10644
TTDI02379	mRNA of influenza virus neuraminidase	Discontinued target	Q9IGQ6
TTDI02380	mRNA of TNF alpha ligand	Research target	P01375
TTDI02381	mRNA of Adenosine A1 receptor	Discontinued target	P30542
TTDI02382	mRNA of Erbb2 tyrosine kinase receptor	Discontinued target	P04626
TTDI02383	mRNA of Protein kinase C alpha	Discontinued target	P17252
TTDI02384	mRNA of Antigen KI-67	Discontinued target	P46013
TTDI02385	mRNA of Abl	Discontinued target	P00519
TTDI02386	mRNA of HIV GAG	Discontinued target	P04591
TTDI02387	mRNA of BORIS	Discontinued target	Q8NI51
TTDI02388	mRNA of TGF-alpha	Discontinued target	P01135 (40-89)
TTDI02390	VEGF 165 isoform (aptamer)	Successful target	P15692-4
TTDI02391	Mycobacterium tuberculosis aminoglycoside 2'-N-acetyltransferase	Research target	P0A5N0
TTDI02392	Bcl 2 binding component 3	Research target	Q9BXH1
TTDI02393	Amphiregulin ligand	Research target	P15514
TTDI02394	CD31	Research target	P16284
TTDI02395	FGF-14 ligand	Research target	Q92915
TTDI02396	CD160	Research target	O95971
TTDI02397	Killer cell immunoglobulin-like receptor 3DL2	Research target	P43630
TTDI02398	CD58	Research target	P19256
TTDI02399	Centrosomal protein	Research target	Q9NXG0
TTDI02400	Anterior gradient protein 2 homolog	Research target	O95994
TTDI02401	Bone marrow stromal antigen 2	Research target	Q10589
TTDI02402	TRP cation channel M5	Research target	Q9NZQ8
TTDI02403	Desmoglein-3	Research target	P32926
TTDI02404	Gap junction alpha-8 protein	Research target	P48165
TTDI02405	Myosin-2	Research target	Q9UKX2
TTDI02406	Tubulin beta-3 chain	Research target	Q13509
TTDI02407	Dysferlin	Research target	O75923
TTDI02408	Prostate derived ETS factor	Research target	O95238
TTDI02409	Orotate phosphoribosyltransferase	Research target	P11172
TTDI02410	Major prion protein	Research target	P04156
TTDI02411	Heat shock factor protein 1	Research target	Q00613
TTDI02412	Thioredoxin reductase 3	Research target	Q86VQ6
TTDI02413	Runt-related transcription factor 2	Research target	Q13950
TTDI02414	Runt-related transcription factor 3	Research target	Q13761
TTDI02415	Tissue transglutaminase	Research target	P21980
TTDI02416	Secreted frizzled related protein-4	Research target	Q6FHJ7
TTDI02417	Botulinum toxin B	Research target	P10844
TTDI02419	E3 ubiquitin protein ligase CBLB	Research target	Q13191
TTDI02420	Myotubularin	Research target	Q13496
TTDI02421	Sodium calcium exchanger 1	Research target	P32418
TTDI02422	Gastric triacylglycerol lipase	Research target	P07098
TTDI02423	CD47	Research target	Q08722
TTDI02424	Aspartate beta-hydroxylase	Research target	Q12797
TTDI02426	ADAM 30	Research target	Q9UKF2
TTDI02427	Integrin beta-3	Research target	P05106
TTDI02428	Mucin 5A	Research target	P98088
TTDI02429	Follistatin	Research target	P19883
TTDI02430	Peroxiredoxin 4	Research target	Q13162
TTDI02431	Protein arginine N-methyltransferase 4	Research target	Q86X55
TTDI02432	Cathelicidin antimicrobial peptide	Research target	P49913
TTDI02433	HIF prolyl hydroxylase-2	Research target	Q9GZT9
TTDI02434	Mannose receptor	Research target	P22897
TTDI02435	Proto-oncogene c-Cbl	Research target	P22681
TTDI02436	Thyroid peroxidase	Research target	P07202
TTDI02437	Cyclophilin D	Research target	P30405
TTDI02438	B-type natriuretic peptide (BNP)	Research target	P16860
TTDI02440	Rhodopsin	Research target	P08100
TTDI02441	CD97	Research target	P48960
TTDI02442	Proteoglycan 4	Research target	Q92954
TTDI02443	LDL receptor related protein-2	Research target	P98164
TTDI02444	Low-density lipoprotein receptor	Research target	P01130
TTDI02445	Activin type-IIB receptor	Research target	Q13705
TTDI02446	Ribonuclease L	Research target	Q05823
TTDI02447	MST-1 protein kinase	Research target	Q13043
TTDI02448	Apolipoprotein H	Research target	P02749
TTDI02449	IGF binding protein-2	Research target	P18065
TTDI02450	Integrin alpha-E	Research target	P38570
TTDI02451	Protein kinase C binding protein NELL1	Research target	Q92832
TTDI02452	Estrogen related receptor alpha	Research target	P11474
TTDI02453	Insulin receptor substrate-1	Research target	P35568
TTDI02454	Phosphodiesterase (PDE) 1B	Research target	Q01064
TTDI02455	Solute carrier family 12A2	Research target	P55011
TTDI02456	Ubiquitin thioesterase-7	Research target	Q93009
TTDI02457	Ubiquitin thioesterase-8	Research target	P40818
TTDI02458	TRP cation channel V4	Research target	Q9HBA0
TTDI02459	SCN3A sodium channel subunit	Research target	Q9NY46
TTDI02460	Potassium channel KCNA1 Kv1.1	Research target	Q09470
TTDI02461	SCN8A sodium channel subunit	Research target	Q9UQD0
TTDI02462	Serine protease HTRA1	Research target	Q92743
TTDI02463	Caspase-8	Research target	Q14790
TTDI02464	CASP8-FADD-like regulator	Research target	O15519
TTDI02465	Histone deacetylase-4	Research target	P56524
TTDI02466	Potassium channel KCNJ18 Kir2.6	Research target	B7U540
TTDI02467	DNA mismatch repair protein PMS1	Research target	P54277
TTDI02468	Apolipoprotein B-100	Research target	P04114
TTDI02469	NADPH oxidase 2	Research target	P04839
TTDI02470	Butyrophilin like protein 3	Research target	Q6UXE8
TTDI02471	Activated CDC42 kinase 1	Research target	Q07912
TTDI02472	Focal adhesion kinase-2	Research target	Q14289
TTDI02473	Retinol dehydrogenase	Research target	P40394
TTDI02474	G protein coupled receptor 49	Research target	O75473
TTDI02475	VIP 1 receptor	Research target	P32241
TTDI02476	GTPase activating protein	Research target	P20936
TTDI02477	Bone morphogenetic protein-4 ligand	Research target	P12644
TTDI02478	Nodal homolog ligand	Research target	Q96S42
TTDI02479	Collagen VII	Research target	Q02388
TTDI02480	Roundabout homolog 4	Research target	Q8WZ75
TTDI02481	Protein kinase D	Research target	Q15139
TTDI02482	Polo-like kinase 2	Research target	Q9NYY3
TTDI02483	Hepatocyte growth factor activator	Research target	Q04756
TTDI02484	Mannan-binding lectin serine protease-2	Research target	O00187
TTDI02485	Neurotrypsin	Research target	P56730
TTDI02486	Wnt-1 induced signal pathway protein 1	Research target	O95388
TTDI02487	Cyclin A2	Research target	P20248
TTDI02488	Stabilin 1	Research target	Q9NY15
TTDI02489	Histone acetyltransferase p300	Research target	Q09472
TTDI02490	TRP cation channel C5	Research target	Q9UL62
TTDI02491	Potassium channel H-ERG	Research target	Q12809
TTDI02492	Caspase-2	Research target	P42575
TTDI02493	Caspase-9	Research target	P55211
TTDI02494	Neuropilin 2	Research target	O60462
TTDI02495	Metabotropic glutamate receptor 4	Research target	Q14833
TTDI02496	Metabotropic glutamate receptor 7	Research target	Q14831
TTDI02497	NMDA receptor subunit NR1	Research target	Q05586
TTDI02498	Integrin alpha-11	Research target	Q9UKX5
TTDI02499	HLA class I antigen A-33 alpha	Research target	P16190
TTDI02500	Activated leukocyte cell adhesion molecule	Research target	Q13740
TTDI02501	Integrin-linked kinase	Research target	Q13418
TTDI02502	TIE 1 tyrosine kinase receptor	Research target	P35590
TTDI02503	CD132	Research target	P31785
TTDI02504	Biglycan	Research target	P21810
TTDI02505	Decorin	Research target	P07585
TTDI02506	CC-chemokine receptor 7	Research target	P32248
TTDI02507	CXCR6 chemokine	Research target	O00574
TTDI02508	CXCR7 chemokine	Research target	P25106
TTDI02509	G-protein coupled receptor 120	Research target	Q5NUL3
TTDI02510	N-formyl peptide receptor	Research target	P21462
TTDI02511	G protein coupled receptor 101	Research target	Q96P66
TTDI02512	G protein coupled receptor 182	Research target	O15218
TTDI02513	G-protein coupled receptor-39	Research target	O43194
TTDI02514	G-protein coupled receptor 85	Research target	P60893
TTDI02515	G protein coupled receptor 87	Research target	Q9BY21
TTDI02516	G protein coupled receptor 81	Research target	Q9BXC0
TTDI02517	Neuropeptide S receptor	Research target	Q6W5P4
TTDI02518	P2Y1 purinoceptor	Research target	P47900
TTDI02519	P2Y8 purinoceptor	Research target	Q86VZ1
TTDI02520	Protease-activated receptor-2	Research target	P55085
TTDI02521	Prokineticin receptor-1	Research target	Q8TCW9
