TTDID	KEGG pathway ID	KEGG pathway name
TTDC00240	hsa05414	Dilated cardiomyopathy
TTDC00241	hsa04150	mTOR signaling pathway
TTDC00241	hsa04151	PI3K-Akt signaling pathway
TTDC00241	hsa05206	MicroRNAs in cancer
TTDC00242	hsa04080	Neuroactive ligand-receptor interaction
TTDC00244	hsa05206	MicroRNAs in cancer
TTDC00245	hsa04120	Ubiquitin mediated proteolysis
TTDC00246	hsa04512	ECM-receptor interaction
TTDC00247	hsa04014	Ras signaling pathway
TTDC00247	hsa04015	Rap1 signaling pathway
TTDC00247	hsa04066	HIF-1 signaling pathway
TTDC00247	hsa04151	PI3K-Akt signaling pathway
TTDC00247	hsa05323	Rheumatoid arthritis
TTDC00248	hsa04514	Cell adhesion molecules (CAMs)
TTDC00248	hsa04672	Intestinal immune network for IgA production
TTDC00250	hsa04024	cAMP signaling pathway
TTDC00250	hsa04080	Neuroactive ligand-receptor interaction
TTDC00250	hsa04713	Circadian entrainment
TTDC00250	hsa04720	Long-term potentiation
TTDC00250	hsa04723	Retrograde endocannabinoid signaling
TTDC00250	hsa04724	Glutamatergic synapse
TTDC00250	hsa04728	Dopaminergic synapse
TTDC00250	hsa04730	Long-term depression
TTDC00250	hsa05014	Amyotrophic lateral sclerosis (ALS)
TTDC00250	hsa05031	Amphetamine addiction
TTDC00250	hsa05033	Nicotine addiction
TTDC00251	hsa04060	Cytokine-cytokine receptor interaction
TTDC00251	hsa04630	Jak-STAT signaling pathway
TTDC00251	hsa04668	TNF signaling pathway
TTDC00251	hsa04672	Intestinal immune network for IgA production
TTDC00251	hsa05166	HTLV-I infection
TTDC00251	hsa05168	Herpes simplex infection
TTDC00251	hsa05323	Rheumatoid arthritis
TTDC00253	hsa04024	cAMP signaling pathway
TTDC00253	hsa04080	Neuroactive ligand-receptor interaction
TTDC00254	hsa04080	Neuroactive ligand-receptor interaction
TTDC00255	hsa04726	Serotonergic synapse
TTDC00256	hsa04110	Cell cycle
TTDC00257	hsa04060	Cytokine-cytokine receptor interaction
TTDC00257	hsa04630	Jak-STAT signaling pathway
TTDC00258	hsa04068	FoxO signaling pathway
TTDC00258	hsa04071	Sphingolipid signaling pathway
TTDC00258	hsa04080	Neuroactive ligand-receptor interaction
TTDC00259	hsa04514	Cell adhesion molecules (CAMs)
TTDC00259	hsa04660	T cell receptor signaling pathway
TTDC00259	hsa05320	Autoimmune thyroid disease
TTDC00259	hsa05323	Rheumatoid arthritis
TTDC00260	hsa04973	Carbohydrate digestion and absorption
TTDC00260	hsa04976	Bile secretion
TTDC00260	hsa04978	Mineral absorption
TTDC00263	hsa04014	Ras signaling pathway
TTDC00263	hsa04015	Rap1 signaling pathway
TTDC00263	hsa04060	Cytokine-cytokine receptor interaction
TTDC00263	hsa04151	PI3K-Akt signaling pathway
TTDC00263	hsa04380	Osteoclast differentiation
TTDC00263	hsa04640	Hematopoietic cell lineage
TTDC00263	hsa04668	TNF signaling pathway
TTDC00263	hsa05323	Rheumatoid arthritis
TTDC00265	hsa04514	Cell adhesion molecules (CAMs)
TTDC00265	hsa04612	Antigen processing and presentation
TTDC00265	hsa04640	Hematopoietic cell lineage
TTDC00265	hsa04660	T cell receptor signaling pathway
TTDC00265	hsa05340	Primary immunodeficiency
TTDC00266	hsa04060	Cytokine-cytokine receptor interaction
TTDC00266	hsa04115	p53 signaling pathway
TTDC00266	hsa04210	Apoptosis
TTDC00266	hsa04650	Natural killer cell mediated cytotoxicity
TTDC00266	hsa05162	Measles
TTDC00266	hsa05164	Influenza A
TTDC00267	hsa04060	Cytokine-cytokine receptor interaction
TTDC00267	hsa04210	Apoptosis
TTDC00267	hsa04650	Natural killer cell mediated cytotoxicity
TTDC00267	hsa05162	Measles
TTDC00267	hsa05164	Influenza A
TTDC00269	hsa04010	MAPK signaling pathway
TTDC00269	hsa04370	VEGF signaling pathway
TTDC00269	hsa05146	Amoebiasis
TTDC00269	hsa05169	Epstein-Barr virus infection
TTDC00271	hsa04010	MAPK signaling pathway
TTDC00271	hsa04012	ErbB signaling pathway
TTDC00271	hsa04110	Cell cycle
TTDC00271	hsa04151	PI3K-Akt signaling pathway
TTDC00271	hsa04310	Wnt signaling pathway
TTDC00271	hsa04350	TGF-beta signaling pathway
TTDC00271	hsa04390	Hippo signaling pathway
TTDC00271	hsa04550	Signaling pathways regulating pluripotency of stem cells
TTDC00271	hsa04630	Jak-STAT signaling pathway
TTDC00271	hsa04919	Thyroid hormone signaling pathway
TTDC00271	hsa05161	Hepatitis B
TTDC00271	hsa05166	HTLV-I infection
TTDC00271	hsa05169	Epstein-Barr virus infection
TTDC00271	hsa05200	Pathways in cancer
TTDC00271	hsa05202	Transcriptional misregulation in cancer
TTDC00271	hsa05205	Proteoglycans in cancer
TTDC00271	hsa05206	MicroRNAs in cancer
TTDC00271	hsa05210	Colorectal cancer
TTDC00271	hsa05213	Endometrial cancer
TTDC00271	hsa05216	Thyroid cancer
TTDC00271	hsa05219	Bladder cancer
TTDC00271	hsa05220	Chronic myeloid leukemia
TTDC00271	hsa05221	Acute myeloid leukemia
TTDC00271	hsa05222	Small cell lung cancer
TTDC00271	hsa05230	Central carbon metabolism in cancer
TTDC00272	hsa04010	MAPK signaling pathway
TTDC00272	hsa04060	Cytokine-cytokine receptor interaction
TTDC00272	hsa04068	FoxO signaling pathway
TTDC00272	hsa04110	Cell cycle
TTDC00272	hsa04144	Endocytosis
TTDC00272	hsa04350	TGF-beta signaling pathway
TTDC00272	hsa04380	Osteoclast differentiation
TTDC00272	hsa04390	Hippo signaling pathway
TTDC00272	hsa05140	Leishmaniasis
TTDC00272	hsa05142	Chagas disease (American trypanosomiasis)
TTDC00272	hsa05144	Malaria
TTDC00272	hsa05145	Toxoplasmosis
TTDC00272	hsa05146	Amoebiasis
TTDC00272	hsa05152	Tuberculosis
TTDC00272	hsa05161	Hepatitis B
TTDC00272	hsa05166	HTLV-I infection
TTDC00272	hsa05200	Pathways in cancer
TTDC00272	hsa05205	Proteoglycans in cancer
TTDC00272	hsa05206	MicroRNAs in cancer
TTDC00272	hsa05210	Colorectal cancer
TTDC00272	hsa05211	Renal cell carcinoma
TTDC00272	hsa05212	Pancreatic cancer
TTDC00272	hsa05220	Chronic myeloid leukemia
TTDC00272	hsa05321	Inflammatory bowel disease (IBD)
TTDC00272	hsa05323	Rheumatoid arthritis
TTDC00272	hsa05410	Hypertrophic cardiomyopathy (HCM)
TTDC00272	hsa05414	Dilated cardiomyopathy
TTDC00273	hsa04390	Hippo signaling pathway
TTDC00273	hsa05161	Hepatitis B
TTDC00273	hsa05200	Pathways in cancer
TTDC00273	hsa05210	Colorectal cancer
TTDC00280	hsa04064	NF-kappa B signaling pathway
TTDC00280	hsa04120	Ubiquitin mediated proteolysis
TTDC00280	hsa04210	Apoptosis
TTDC00280	hsa04510	Focal adhesion
TTDC00280	hsa05145	Toxoplasmosis
TTDC00280	hsa05166	HTLV-I infection
TTDC00280	hsa05200	Pathways in cancer
TTDC00280	hsa05222	Small cell lung cancer
TTDC00290	hsa04014	Ras signaling pathway
TTDC00290	hsa04015	Rap1 signaling pathway
TTDC00290	hsa04060	Cytokine-cytokine receptor interaction
TTDC00290	hsa04151	PI3K-Akt signaling pathway
TTDC00290	hsa04510	Focal adhesion
TTDC00291	hsa04080	Neuroactive ligand-receptor interaction
TTDC00291	hsa04728	Dopaminergic synapse
TTDC00292	hsa04020	Calcium signaling pathway
TTDC00292	hsa04022	cGMP-PKG signaling pathway
TTDC00292	hsa04080	Neuroactive ligand-receptor interaction
TTDC00292	hsa04152	AMPK signaling pathway
TTDC00292	hsa04261	Adrenergic signaling in cardiomyocytes
TTDC00292	hsa04270	Vascular smooth muscle contraction
TTDC00292	hsa04970	Salivary secretion
TTDC00293	hsa04022	cGMP-PKG signaling pathway
TTDC00293	hsa04080	Neuroactive ligand-receptor interaction
TTDC00295	hsa00561	Glycerolipid metabolism
TTDC00295	hsa01100	Metabolic pathways
TTDC00295	hsa04972	Pancreatic secretion
TTDC00295	hsa04975	Fat digestion and absorption
TTDC00295	hsa04977	Vitamin digestion and absorption
TTDC00298	hsa04020	Calcium signaling pathway
TTDC00298	hsa04080	Neuroactive ligand-receptor interaction
TTDC00298	hsa04270	Vascular smooth muscle contraction
TTDC00299	hsa04014	Ras signaling pathway
TTDC00299	hsa04015	Rap1 signaling pathway
TTDC00299	hsa04024	cAMP signaling pathway
TTDC00299	hsa04080	Neuroactive ligand-receptor interaction
TTDC00299	hsa04713	Circadian entrainment
TTDC00299	hsa04720	Long-term potentiation
TTDC00299	hsa04724	Glutamatergic synapse
TTDC00299	hsa04728	Dopaminergic synapse
TTDC00299	hsa05010	Alzheimer's disease
TTDC00299	hsa05014	Amyotrophic lateral sclerosis (ALS)
TTDC00299	hsa05016	Huntington's disease
TTDC00299	hsa05030	Cocaine addiction
TTDC00299	hsa05031	Amphetamine addiction
TTDC00299	hsa05033	Nicotine addiction
TTDC00299	hsa05034	Alcoholism
TTDC00299	hsa05322	Systemic lupus erythematosus
TTDC00301	hsa04080	Neuroactive ligand-receptor interaction
TTDC00301	hsa04725	Cholinergic synapse
TTDC00301	hsa05033	Nicotine addiction
TTDC00310	hsa04010	MAPK signaling pathway
TTDC00310	hsa04012	ErbB signaling pathway
TTDC00310	hsa04014	Ras signaling pathway
TTDC00310	hsa04015	Rap1 signaling pathway
TTDC00310	hsa04022	cGMP-PKG signaling pathway
TTDC00310	hsa04024	cAMP signaling pathway
TTDC00310	hsa04062	Chemokine signaling pathway
TTDC00310	hsa04068	FoxO signaling pathway
TTDC00310	hsa04071	Sphingolipid signaling pathway
TTDC00310	hsa04151	PI3K-Akt signaling pathway
TTDC00310	hsa04270	Vascular smooth muscle contraction
TTDC00310	hsa04370	VEGF signaling pathway
TTDC00310	hsa04510	Focal adhesion
TTDC00310	hsa04540	Gap junction
TTDC00310	hsa04550	Signaling pathways regulating pluripotency of stem cells
TTDC00310	hsa04650	Natural killer cell mediated cytotoxicity
TTDC00310	hsa04660	T cell receptor signaling pathway
TTDC00310	hsa04662	B cell receptor signaling pathway
TTDC00310	hsa04664	Fc epsilon RI signaling pathway
TTDC00310	hsa04666	Fc gamma R-mediated phagocytosis
TTDC00310	hsa04720	Long-term potentiation
TTDC00310	hsa04722	Neurotrophin signaling pathway
TTDC00310	hsa04726	Serotonergic synapse
TTDC00310	hsa04730	Long-term depression
TTDC00310	hsa04810	Regulation of actin cytoskeleton
TTDC00310	hsa04910	Insulin signaling pathway
TTDC00310	hsa04912	GnRH signaling pathway
TTDC00310	hsa04914	Progesterone-mediated oocyte maturation
TTDC00310	hsa04915	Estrogen signaling pathway
TTDC00310	hsa04916	Melanogenesis
TTDC00310	hsa04917	Prolactin signaling pathway
TTDC00310	hsa04919	Thyroid hormone signaling pathway
TTDC00310	hsa04921	Oxytocin signaling pathway
TTDC00310	hsa05034	Alcoholism
TTDC00310	hsa05152	Tuberculosis
TTDC00310	hsa05160	Hepatitis C
TTDC00310	hsa05161	Hepatitis B
TTDC00310	hsa05164	Influenza A
TTDC00310	hsa05200	Pathways in cancer
TTDC00310	hsa05205	Proteoglycans in cancer
TTDC00310	hsa05206	MicroRNAs in cancer
TTDC00310	hsa05210	Colorectal cancer
TTDC00310	hsa05211	Renal cell carcinoma
TTDC00310	hsa05212	Pancreatic cancer
TTDC00310	hsa05213	Endometrial cancer
TTDC00310	hsa05214	Glioma
TTDC00310	hsa05215	Prostate cancer
TTDC00310	hsa05218	Melanoma
TTDC00310	hsa05219	Bladder cancer
TTDC00310	hsa05220	Chronic myeloid leukemia
TTDC00310	hsa05221	Acute myeloid leukemia
TTDC00310	hsa05223	Non-small cell lung cancer
TTDC00310	hsa05230	Central carbon metabolism in cancer
TTDC00310	hsa05231	Choline metabolism in cancer
TTDC00311	hsa04010	MAPK signaling pathway
TTDC00311	hsa04014	Ras signaling pathway
TTDC00311	hsa04015	Rap1 signaling pathway
TTDC00311	hsa04020	Calcium signaling pathway
TTDC00311	hsa04060	Cytokine-cytokine receptor interaction
TTDC00311	hsa04144	Endocytosis
TTDC00311	hsa04151	PI3K-Akt signaling pathway
TTDC00311	hsa04510	Focal adhesion
TTDC00311	hsa04540	Gap junction
TTDC00311	hsa04810	Regulation of actin cytoskeleton
TTDC00311	hsa05166	HTLV-I infection
TTDC00311	hsa05200	Pathways in cancer
TTDC00311	hsa05206	MicroRNAs in cancer
TTDC00311	hsa05214	Glioma
TTDC00311	hsa05215	Prostate cancer
TTDC00311	hsa05218	Melanoma
TTDC00311	hsa05230	Central carbon metabolism in cancer
TTDC00311	hsa05231	Choline metabolism in cancer
TTDC00312	hsa04064	NF-kappa B signaling pathway
TTDC00312	hsa04610	Complement and coagulation cascades
TTDC00312	hsa05202	Transcriptional misregulation in cancer
TTDC00312	hsa05205	Proteoglycans in cancer
TTDC00312	hsa05206	MicroRNAs in cancer
TTDC00313	hsa00071	Fatty acid degradation
TTDC00313	hsa00072	Synthesis and degradation of ketone bodies
TTDC00313	hsa00280	Valine, leucine and isoleucine degradation
TTDC00313	hsa00310	Lysine degradation
TTDC00313	hsa00380	Tryptophan metabolism
TTDC00313	hsa00620	Pyruvate metabolism
TTDC00313	hsa00630	Glyoxylate and dicarboxylate metabolism
TTDC00313	hsa00640	Propanoate metabolism
TTDC00313	hsa00650	Butanoate metabolism
TTDC00313	hsa00900	Terpenoid backbone biosynthesis
TTDC00313	hsa01100	Metabolic pathways
TTDC00313	hsa01130	Biosynthesis of antibiotics
TTDC00313	hsa01200	Carbon metabolism
TTDC00313	hsa01212	Fatty acid metabolism
TTDC00314	hsa04080	Neuroactive ligand-receptor interaction
TTDC00318	hsa04010	MAPK signaling pathway
TTDC00318	hsa04144	Endocytosis
TTDC00318	hsa04210	Apoptosis
TTDC00318	hsa04722	Neurotrophin signaling pathway
TTDC00318	hsa04750	Inflammatory mediator regulation of TRP channels
TTDC00318	hsa05200	Pathways in cancer
TTDC00318	hsa05202	Transcriptional misregulation in cancer
TTDC00318	hsa05216	Thyroid cancer
TTDC00318	hsa05230	Central carbon metabolism in cancer
TTDC00319	hsa04064	NF-kappa B signaling pathway
TTDC00319	hsa04066	HIF-1 signaling pathway
TTDC00319	hsa04071	Sphingolipid signaling pathway
TTDC00319	hsa04141	Protein processing in endoplasmic reticulum
TTDC00319	hsa04151	PI3K-Akt signaling pathway
TTDC00319	hsa04210	Apoptosis
TTDC00319	hsa04261	Adrenergic signaling in cardiomyocytes
TTDC00319	hsa04510	Focal adhesion
TTDC00319	hsa04722	Neurotrophin signaling pathway
TTDC00319	hsa04725	Cholinergic synapse
TTDC00319	hsa05014	Amyotrophic lateral sclerosis (ALS)
TTDC00319	hsa05145	Toxoplasmosis
TTDC00319	hsa05152	Tuberculosis
TTDC00319	hsa05161	Hepatitis B
TTDC00319	hsa05169	Epstein-Barr virus infection
TTDC00319	hsa05200	Pathways in cancer
TTDC00319	hsa05206	MicroRNAs in cancer
TTDC00319	hsa05210	Colorectal cancer
TTDC00319	hsa05215	Prostate cancer
TTDC00319	hsa05222	Small cell lung cancer
TTDC00325	hsa04146	Peroxisome
TTDC00325	hsa05014	Amyotrophic lateral sclerosis (ALS)
TTDC00325	hsa05016	Huntington's disease
TTDC00325	hsa05020	Prion diseases
TTDC00326	hsa04610	Complement and coagulation cascades
TTDC00326	hsa05150	Staphylococcus aureus infection
TTDC00327	hsa04060	Cytokine-cytokine receptor interaction
TTDC00327	hsa04064	NF-kappa B signaling pathway
TTDC00327	hsa04668	TNF signaling pathway
TTDC00327	hsa04940	Type I diabetes mellitus
TTDC00327	hsa05166	HTLV-I infection
TTDC00327	hsa05168	Herpes simplex infection
TTDC00328	hsa03320	PPAR signaling pathway
TTDC00330	hsa04610	Complement and coagulation cascades
TTDC00331	hsa04975	Fat digestion and absorption
TTDC00331	hsa04977	Vitamin digestion and absorption
TTDC00332	hsa04114	Oocyte meiosis
TTDC00332	hsa05200	Pathways in cancer
TTDC00332	hsa05215	Prostate cancer
TTDC00333	hsa04060	Cytokine-cytokine receptor interaction
TTDC00333	hsa04080	Neuroactive ligand-receptor interaction
TTDC00333	hsa04151	PI3K-Akt signaling pathway
TTDC00333	hsa04630	Jak-STAT signaling pathway
TTDC00333	hsa04917	Prolactin signaling pathway
TTDC00334	hsa04014	Ras signaling pathway
TTDC00334	hsa04015	Rap1 signaling pathway
TTDC00334	hsa04060	Cytokine-cytokine receptor interaction
TTDC00334	hsa04066	HIF-1 signaling pathway
TTDC00334	hsa04144	Endocytosis
TTDC00334	hsa04151	PI3K-Akt signaling pathway
TTDC00334	hsa04510	Focal adhesion
TTDC00334	hsa05202	Transcriptional misregulation in cancer
TTDC00334	hsa05323	Rheumatoid arthritis
TTDC00335	hsa04390	Hippo signaling pathway
TTDC00337	hsa04060	Cytokine-cytokine receptor interaction
TTDC00340	hsa05231	Choline metabolism in cancer
TTDC00341	hsa03018	RNA degradation
TTDC00342	hsa04020	Calcium signaling pathway
TTDC00342	hsa04024	cAMP signaling pathway
TTDC00342	hsa04611	Platelet activation
TTDC00342	hsa05340	Primary immunodeficiency
TTDC00343	hsa04520	Adherens junction
TTDC00344	hsa04340	Hedgehog signaling pathway
TTDC00344	hsa05200	Pathways in cancer
TTDC00344	hsa05205	Proteoglycans in cancer
TTDC00344	hsa05217	Basal cell carcinoma
TTDC00345	hsa04060	Cytokine-cytokine receptor interaction
TTDC00345	hsa04080	Neuroactive ligand-receptor interaction
TTDC00345	hsa04151	PI3K-Akt signaling pathway
TTDC00345	hsa04630	Jak-STAT signaling pathway
TTDI00319	hsa00230	Purine metabolism
TTDI00319	hsa00240	Pyrimidine metabolism
TTDI00319	hsa00760	Nicotinate and nicotinamide metabolism
TTDI00319	hsa01100	Metabolic pathways
TTDI00342	hsa04060	Cytokine-cytokine receptor interaction
TTDI00342	hsa04062	Chemokine signaling pathway
TTDI00342	hsa04144	Endocytosis
TTDI00342	hsa04360	Axon guidance
TTDI00342	hsa04670	Leukocyte transendothelial migration
TTDI00342	hsa04672	Intestinal immune network for IgA production
TTDI00342	hsa05200	Pathways in cancer
TTDI00350	hsa04010	MAPK signaling pathway
TTDI00350	hsa04012	ErbB signaling pathway
TTDI00350	hsa04014	Ras signaling pathway
TTDI00350	hsa04015	Rap1 signaling pathway
TTDI00350	hsa04022	cGMP-PKG signaling pathway
TTDI00350	hsa04024	cAMP signaling pathway
TTDI00350	hsa04062	Chemokine signaling pathway
TTDI00350	hsa04066	HIF-1 signaling pathway
TTDI00350	hsa04068	FoxO signaling pathway
TTDI00350	hsa04071	Sphingolipid signaling pathway
TTDI00350	hsa04150	mTOR signaling pathway
TTDI00350	hsa04151	PI3K-Akt signaling pathway
TTDI00350	hsa04152	AMPK signaling pathway
TTDI00350	hsa04210	Apoptosis
TTDI00350	hsa04261	Adrenergic signaling in cardiomyocytes
TTDI00350	hsa04370	VEGF signaling pathway
TTDI00350	hsa04380	Osteoclast differentiation
TTDI00350	hsa04510	Focal adhesion
TTDI00350	hsa04530	Tight junction
TTDI00350	hsa04550	Signaling pathways regulating pluripotency of stem cells
TTDI00350	hsa04611	Platelet activation
TTDI00350	hsa04620	Toll-like receptor signaling pathway
TTDI00350	hsa04630	Jak-STAT signaling pathway
TTDI00350	hsa04660	T cell receptor signaling pathway
TTDI00350	hsa04662	B cell receptor signaling pathway
TTDI00350	hsa04664	Fc epsilon RI signaling pathway
TTDI00350	hsa04666	Fc gamma R-mediated phagocytosis
TTDI00350	hsa04668	TNF signaling pathway
TTDI00350	hsa04722	Neurotrophin signaling pathway
TTDI00350	hsa04725	Cholinergic synapse
TTDI00350	hsa04728	Dopaminergic synapse
TTDI00350	hsa04910	Insulin signaling pathway
TTDI00350	hsa04914	Progesterone-mediated oocyte maturation
TTDI00350	hsa04915	Estrogen signaling pathway
TTDI00350	hsa04917	Prolactin signaling pathway
TTDI00350	hsa04919	Thyroid hormone signaling pathway
TTDI00350	hsa04920	Adipocytokine signaling pathway
TTDI00350	hsa04922	Glucagon signaling pathway
TTDI00350	hsa04923	Regulation of lipolysis in adipocytes
TTDI00350	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
TTDI00350	hsa04973	Carbohydrate digestion and absorption
TTDI00350	hsa05142	Chagas disease (American trypanosomiasis)
TTDI00350	hsa05145	Toxoplasmosis
TTDI00350	hsa05152	Tuberculosis
TTDI00350	hsa05160	Hepatitis C
TTDI00350	hsa05161	Hepatitis B
TTDI00350	hsa05162	Measles
TTDI00350	hsa05164	Influenza A
TTDI00350	hsa05166	HTLV-I infection
TTDI00350	hsa05169	Epstein-Barr virus infection
TTDI00350	hsa05200	Pathways in cancer
TTDI00350	hsa05205	Proteoglycans in cancer
TTDI00350	hsa05210	Colorectal cancer
TTDI00350	hsa05211	Renal cell carcinoma
TTDI00350	hsa05212	Pancreatic cancer
TTDI00350	hsa05213	Endometrial cancer
TTDI00350	hsa05214	Glioma
TTDI00350	hsa05215	Prostate cancer
TTDI00350	hsa05218	Melanoma
TTDI00350	hsa05220	Chronic myeloid leukemia
TTDI00350	hsa05221	Acute myeloid leukemia
TTDI00350	hsa05222	Small cell lung cancer
TTDI00350	hsa05223	Non-small cell lung cancer
TTDI00350	hsa05230	Central carbon metabolism in cancer
TTDI00350	hsa05231	Choline metabolism in cancer
TTDI00462	hsa04024	cAMP signaling pathway
TTDI00587	hsa00790	Folate biosynthesis
TTDI00587	hsa01100	Metabolic pathways
TTDI00605	hsa03030	DNA replication
TTDI00605	hsa03410	Base excision repair
TTDI00605	hsa03420	Nucleotide excision repair
TTDI00605	hsa03430	Mismatch repair
TTDI00605	hsa04110	Cell cycle
TTDI00605	hsa05161	Hepatitis B
TTDI00605	hsa05166	HTLV-I infection
TTDI00607	hsa00590	Arachidonic acid metabolism
TTDI00607	hsa00591	Linoleic acid metabolism
TTDI00607	hsa01100	Metabolic pathways
TTDI00607	hsa04726	Serotonergic synapse
TTDI00641	hsa03015	mRNA surveillance pathway
TTDI00641	hsa04071	Sphingolipid signaling pathway
TTDI00641	hsa04114	Oocyte meiosis
TTDI00641	hsa04151	PI3K-Akt signaling pathway
TTDI00641	hsa04152	AMPK signaling pathway
TTDI00641	hsa04261	Adrenergic signaling in cardiomyocytes
TTDI00641	hsa04350	TGF-beta signaling pathway
TTDI00641	hsa04390	Hippo signaling pathway
TTDI00641	hsa04530	Tight junction
TTDI00641	hsa04728	Dopaminergic synapse
TTDI00641	hsa04730	Long-term depression
TTDI00641	hsa05142	Chagas disease (American trypanosomiasis)
TTDI00641	hsa05160	Hepatitis C
TTDI00747	hsa01040	Biosynthesis of unsaturated fatty acids
TTDI00747	hsa01212	Fatty acid metabolism
TTDI00747	hsa03320	PPAR signaling pathway
TTDI00747	hsa04152	AMPK signaling pathway
TTDI00816	hsa00480	Glutathione metabolism
TTDI00816	hsa04918	Thyroid hormone synthesis
TTDI00862	hsa00240	Pyrimidine metabolism
TTDI00862	hsa01100	Metabolic pathways
TTDI00909	hsa04020	Calcium signaling pathway
TTDI00909	hsa04713	Circadian entrainment
TTDI00909	hsa04730	Long-term depression
TTDI00909	hsa04921	Oxytocin signaling pathway
TTDI00915	hsa04614	Renin-angiotensin system
TTDI00915	hsa05142	Chagas disease (American trypanosomiasis)
TTDI00915	hsa05410	Hypertrophic cardiomyopathy (HCM)
TTDI00931	hsa00670	One carbon pool by folate
TTDI00931	hsa00790	Folate biosynthesis
TTDI00931	hsa01100	Metabolic pathways
TTDI00934	mtu00230	Purine metabolism
TTDI00934	mtu00240	Pyrimidine metabolism
TTDI00934	mtu01100	Metabolic pathways
TTDI00934	mtu03020	RNA polymerase
TTDI00939	hsa04915	Estrogen signaling pathway
TTDI00939	hsa04917	Prolactin signaling pathway
TTDI00939	hsa04919	Thyroid hormone signaling pathway
TTDI00939	hsa04961	Endocrine and other factor-regulated calcium reabsorption
TTDI00939	hsa05205	Proteoglycans in cancer
TTDI00956	hsa04146	Peroxisome
TTDI00964	hsa00240	Pyrimidine metabolism
TTDI00964	hsa00670	One carbon pool by folate
TTDI00964	hsa01100	Metabolic pathways
TTDI00965	hsa00100	Steroid biosynthesis
TTDI00965	hsa01100	Metabolic pathways
TTDI00965	hsa01130	Biosynthesis of antibiotics
TTDI00967	hsa04145	Phagosome
TTDI00967	hsa04540	Gap junction
TTDI00967	hsa05130	Pathogenic Escherichia coli infection
TTDI00990	hsa00900	Terpenoid backbone biosynthesis
TTDI00990	hsa01100	Metabolic pathways
TTDI00990	hsa01130	Biosynthesis of antibiotics
TTDI00990	hsa05164	Influenza A
TTDI00990	hsa05166	HTLV-I infection
TTDI01008	hsa04010	MAPK signaling pathway
TTDI01008	hsa04260	Cardiac muscle contraction
TTDI01008	hsa04261	Adrenergic signaling in cardiomyocytes
TTDI01008	hsa04921	Oxytocin signaling pathway
TTDI01008	hsa05410	Hypertrophic cardiomyopathy (HCM)
TTDI01008	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
TTDI01008	hsa05414	Dilated cardiomyopathy
TTDI01014	hsa00071	Fatty acid degradation
TTDI01014	hsa01212	Fatty acid metabolism
TTDI01014	hsa03320	PPAR signaling pathway
TTDI01014	hsa04152	AMPK signaling pathway
TTDI01014	hsa04920	Adipocytokine signaling pathway
TTDI01014	hsa04922	Glucagon signaling pathway
TTDI01022	hsa04015	Rap1 signaling pathway
TTDI01022	hsa04514	Cell adhesion molecules (CAMs)
TTDI01022	hsa04650	Natural killer cell mediated cytotoxicity
TTDI01022	hsa04670	Leukocyte transendothelial migration
TTDI01022	hsa04810	Regulation of actin cytoskeleton
TTDI01022	hsa05144	Malaria
TTDI01022	hsa05150	Staphylococcus aureus infection
TTDI01022	hsa05166	HTLV-I infection
TTDI01022	hsa05169	Epstein-Barr virus infection
TTDI01022	hsa05323	Rheumatoid arthritis
TTDI01022	hsa05416	Viral myocarditis
TTDI01040	hsa05143	African trypanosomiasis
TTDI01040	hsa05144	Malaria
TTDI01041	hsa05143	African trypanosomiasis
TTDI01041	hsa05144	Malaria
TTDI01743	hsa04020	Calcium signaling pathway
TTDI01743	hsa04080	Neuroactive ligand-receptor interaction
TTDI01743	hsa04540	Gap junction
TTDI01743	hsa04726	Serotonergic synapse
TTDI01743	hsa04750	Inflammatory mediator regulation of TRP channels
TTDI01746	hsa04060	Cytokine-cytokine receptor interaction
TTDI01746	hsa04620	Toll-like receptor signaling pathway
TTDI01746	hsa04622	RIG-I-like receptor signaling pathway
TTDI01746	hsa04630	Jak-STAT signaling pathway
TTDI01746	hsa04940	Type I diabetes mellitus
TTDI01746	hsa05133	Pertussis
TTDI01746	hsa05134	Legionellosis
TTDI01746	hsa05140	Leishmaniasis
TTDI01746	hsa05142	Chagas disease (American trypanosomiasis)
TTDI01746	hsa05143	African trypanosomiasis
TTDI01746	hsa05144	Malaria
TTDI01746	hsa05145	Toxoplasmosis
TTDI01746	hsa05146	Amoebiasis
TTDI01746	hsa05152	Tuberculosis
TTDI01746	hsa05162	Measles
TTDI01746	hsa05164	Influenza A
TTDI01746	hsa05168	Herpes simplex infection
TTDI01746	hsa05321	Inflammatory bowel disease (IBD)
TTDI01746	hsa05330	Allograft rejection
TTDI01748	hsa04151	PI3K-Akt signaling pathway
TTDI01748	hsa04380	Osteoclast differentiation
TTDI01748	hsa04550	Signaling pathways regulating pluripotency of stem cells
TTDI01748	hsa04630	Jak-STAT signaling pathway
TTDI01748	hsa05140	Leishmaniasis
TTDI01748	hsa05145	Toxoplasmosis
TTDI01748	hsa05152	Tuberculosis
TTDI01748	hsa05160	Hepatitis C
TTDI01748	hsa05161	Hepatitis B
TTDI01748	hsa05162	Measles
TTDI01748	hsa05164	Influenza A
TTDI01748	hsa05166	HTLV-I infection
TTDI01748	hsa05168	Herpes simplex infection
