TTDID	WiKi pathway ID	WiKi pathway name
TTDC00310	WP2035	FSH signaling pathway
TTDC00310	WP2036	TWEAK Signaling Pathway
TTDC00310	WP2197	Endothelin Pathways
TTDC00310	WP2261	Signaling Pathways in Glioblastoma
TTDC00310	WP2263	Prostate Cancer
TTDC00310	WP231	TNF alpha Signaling Pathway
TTDC00310	WP2324	AGE/RAGE pathway
TTDC00310	WP2332	Interleukin-11 Signaling Pathway
TTDC00310	WP2355	Corticotropin-releasing hormone
TTDC00310	WP2374	Oncostatin M Signaling Pathway
TTDC00310	WP2377	Integrated Pancreatic Cancer Pathway
TTDC00310	WP2380	BDNF signaling pathway
TTDC00310	WP23	B Cell Receptor Signaling Pathway
TTDC00310	WP2446	Retinoblastoma (RB) in Cancer
TTDC00310	WP2526	PDGF Pathway
TTDC00310	WP2586	Aryl Hydrocarbon Receptor
TTDC00310	WP2643	Nanoparticle-mediated activation of receptor signaling
TTDC00310	WP2670	Iron uptake and transport
TTDC00310	WP2735	RAF/MAP kinase cascade
TTDC00310	WP2754	Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell
TTDC00310	WP2795	Cardiac Hypertrophic Response
TTDC00310	WP286	IL-3 Signaling Pathway
TTDC00310	WP2870	Extracellular vesicle-mediated signaling in recipient cells
TTDC00310	WP304	Kit receptor signaling pathway
TTDC00310	WP306	Focal Adhesion
TTDC00310	WP313	Signaling of Hepatocyte Growth Factor Receptor
TTDC00310	WP366	TGF beta Signaling Pathway
TTDC00310	WP382	MAPK Signaling Pathway
TTDC00310	WP422	MAPK Cascade
TTDC00310	WP437	EGF/EGFR Signaling Pathway
TTDC00310	WP481	Insulin Signaling
TTDC00310	WP49	IL-2 Signaling Pathway
TTDC00310	WP51	Regulation of Actin Cytoskeleton
TTDC00310	WP581	EPO Receptor Signaling
TTDC00310	WP615	Senescence and Autophagy in Cancer
TTDC00310	WP69	TCR Signaling Pathway
TTDC00310	WP732	Serotonin Receptor 2 and ELK-SRF/GATA4 signaling
TTDC00311	WP1539	Angiogenesis
TTDC00311	WP1916	Signaling by PDGF
TTDC00311	WP2261	Signaling Pathways in Glioblastoma
TTDC00311	WP2328	Allograft Rejection
TTDC00311	WP2377	Integrated Pancreatic Cancer Pathway
TTDC00311	WP2406	Cardiac Progenitor Differentiation
TTDC00311	WP2653	PIP3 activates AKT signaling
TTDC00311	WP2839	Hair Follicle Development: Organogenesis (Part 2 of 3)
TTDC00311	WP306	Focal Adhesion
TTDC00311	WP322	Osteoblast Signaling
TTDC00311	WP51	Regulation of Actin Cytoskeleton
TTDC00312	WP1434	Osteopontin Signaling
TTDC00312	WP1802	Dissolution of Fibrin Clot
TTDC00312	WP272	Blood Clotting Cascade
TTDC00312	WP399	Wnt Signaling Pathway and Pluripotency
TTDC00312	WP428	Wnt Signaling Pathway
TTDC00312	WP474	Endochondral Ossification
TTDC00312	WP558	Complement and Coagulation Cascades
TTDC00312	WP615	Senescence and Autophagy in Cancer
TTDC00312	WP710	DNA Damage Response (only ATM dependent)
TTDC00313	WP143	Fatty Acid Beta Oxidation
TTDC00313	WP1817	Fatty acid, triacylglycerol, and ketone body metabolism
TTDC00313	WP2693	Metabolism of amino acids and derivatives
TTDC00313	WP311	Synthesis and Degradation of Ketone Bodies
TTDC00313	WP465	Tryptophan metabolism
TTDC00314	WP1824	GPCR downstream signaling
TTDC00314	WP1825	GPCR ligand binding
TTDC00314	WP247	Small Ligand GPCRs
TTDC00314	WP455	GPCRs, Class A Rhodopsin-like
TTDC00318	WP1873	NGF signalling via TRKA from the plasma membrane
TTDC00318	WP2377	Integrated Pancreatic Cancer Pathway
TTDC00318	WP2380	BDNF signaling pathway
TTDC00318	WP382	MAPK Signaling Pathway
TTDC00319	WP127	IL-5 Signaling Pathway
TTDC00319	WP1438	Influenza A virus infection
TTDC00319	WP1742	TP53 Network
TTDC00319	WP1772	Apoptosis Modulation and Signaling
TTDC00319	WP1841	Intrinsic Pathway for Apoptosis
TTDC00319	WP1971	Integrated Cancer pathway
TTDC00319	WP1984	Integrated Breast Cancer Pathway
TTDC00319	WP2003	miR-targeted genes in leukocytes - TarBase
TTDC00319	WP2004	miR-targeted genes in lymphocytes - TarBase
TTDC00319	WP2005	miR-targeted genes in muscle cell - TarBase
TTDC00319	WP2263	Prostate Cancer
TTDC00319	WP2332	Interleukin-11 Signaling Pathway
TTDC00319	WP2355	Corticotropin-releasing hormone
TTDC00319	WP2377	Integrated Pancreatic Cancer Pathway
TTDC00319	WP2447	Amyotrophic lateral sclerosis (ALS)
TTDC00319	WP2509	Nanoparticle triggered autophagic cell death
TTDC00319	WP254	Apoptosis
TTDC00319	WP2763	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways
TTDC00319	WP286	IL-3 Signaling Pathway
TTDC00319	WP304	Kit receptor signaling pathway
TTDC00319	WP306	Focal Adhesion
TTDC00319	WP314	FAS pathway and Stress induction of HSP regulation
TTDC00319	WP49	IL-2 Signaling Pathway
TTDC00319	WP615	Senescence and Autophagy in Cancer
TTDC00319	WP710	DNA Damage Response (only ATM dependent)
TTDC00319	WP712	Estrogen signaling pathway
TTDC00325	WP1533	Vitamin B12 Metabolism
TTDC00325	WP15	Selenium Micronutrient Network
TTDC00325	WP176	Folate Metabolism
TTDC00325	WP2324	AGE/RAGE pathway
TTDC00325	WP2436	Dopamine metabolism
TTDC00325	WP2447	Amyotrophic lateral sclerosis (ALS)
TTDC00325	WP259	Nifedipine Activity
TTDC00325	WP2824	Detoxification of Reactive Oxygen Species
TTDC00325	WP3286	Copper homeostasis
TTDC00325	WP408	Oxidative Stress
TTDC00326	WP1798	Complement cascade
TTDC00326	WP236	Adipogenesis
TTDC00326	WP2806	Human Complement System
TTDC00326	WP558	Complement and Coagulation Cascades
TTDC00327	WP254	Apoptosis
TTDC00328	WP2764	Lipid digestion, mobilization, and transport
TTDC00328	WP2776	Visual phototransduction
TTDC00328	WP2878	PPAR Alpha Pathway
TTDC00328	WP2882	Nuclear Receptors Meta-Pathway
TTDC00328	WP430	Statin Pathway
TTDC00329	WP2703	Extracellular matrix organization
TTDC00329	WP2776	Visual phototransduction
TTDC00330	WP1818	Formation of Fibrin Clot (Clotting Cascade)
TTDC00330	WP272	Blood Clotting Cascade
TTDC00330	WP2806	Human Complement System
TTDC00331	WP1533	Vitamin B12 Metabolism
TTDC00331	WP15	Selenium Micronutrient Network
TTDC00331	WP176	Folate Metabolism
TTDC00331	WP1794	Cell surface interactions at the vascular wall
TTDC00331	WP1885	Platelet homeostasis
TTDC00331	WP2764	Lipid digestion, mobilization, and transport
TTDC00331	WP2776	Visual phototransduction
TTDC00331	WP2784	Binding and Uptake of Ligands by Scavenger Receptors
TTDC00331	WP430	Statin Pathway
TTDC00332	WP138	Androgen receptor signaling pathway
TTDC00332	WP170	Nuclear Receptors
TTDC00332	WP1984	Integrated Breast Cancer Pathway
TTDC00332	WP2263	Prostate Cancer
TTDC00332	WP2377	Integrated Pancreatic Cancer Pathway
TTDC00332	WP706	SIDS Susceptibility Pathways
TTDC00333	WP236	Adipogenesis
TTDC00333	WP2657	Growth hormone receptor signaling
TTDC00333	WP2678	Prolactin receptor signaling
TTDC00333	WP34	Ovarian Infertility Genes
TTDC00334	WP1539	Angiogenesis
TTDC00334	WP1919	Signaling by VEGF
TTDC00334	WP306	Focal Adhesion
TTDC00335	WP2738	YAP1- and WWTR1 (TAZ)-stimulated gene expression
TTDC00335	WP2797	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
TTDC00335	WP2804	Hair Follicle Development: Induction (Part 1 of 3)
TTDC00335	WP2840	Hair Follicle Development: Cytodifferentiation (Part 3 of 3)
TTDC00336	WP1935	Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds
TTDC00336	WP2882	Nuclear Receptors Meta-Pathway
TTDC00336	WP2884	NRF2 pathway
TTDC00339	WP1842	Kinesins
TTDC00339	WP2679	MHC class II antigen presentation
TTDC00341	WP2659	Deadenylation-dependent mRNA decay
TTDC00342	WP1885	Platelet homeostasis
TTDC00342	WP2746	Signaling by the B Cell Receptor (BCR)
TTDC00343	WP1793	Cell junction organization
TTDC00344	WP117	GPCRs, Other
TTDC00344	WP1825	GPCR ligand binding
TTDC00344	WP2377	Integrated Pancreatic Cancer Pathway
TTDC00344	WP2804	Hair Follicle Development: Induction (Part 1 of 3)
TTDC00344	WP2839	Hair Follicle Development: Organogenesis (Part 2 of 3)
TTDC00344	WP47	Hedgehog Signaling Pathway
TTDC00345	WP2657	Growth hormone receptor signaling
TTDC00345	WP2678	Prolactin receptor signaling
TTDC00345	WP474	Endochondral Ossification
TTDI00319	WP1851	Metabolism of nucleotides
TTDI00319	WP2002	miR-targeted genes in epithelium - TarBase
TTDI00319	WP2003	miR-targeted genes in leukocytes - TarBase
TTDI00319	WP2004	miR-targeted genes in lymphocytes - TarBase
TTDI00319	WP2006	miR-targeted genes in squamous cell - TarBase
TTDI00342	WP1824	GPCR downstream signaling
TTDI00342	WP1825	GPCR ligand binding
TTDI00342	WP2406	Cardiac Progenitor Differentiation
TTDI00342	WP24	Peptide GPCRs
TTDI00342	WP2658	HIV Life Cycle
TTDI00342	WP2849	Hematopoietic Stem Cell Differentiation
TTDI00342	WP455	GPCRs, Class A Rhodopsin-like
TTDI00350	WP127	IL-5 Signaling Pathway
TTDI00350	WP138	Androgen receptor signaling pathway
TTDI00350	WP1403	AMPK Signaling
TTDI00350	WP1449	Regulation of toll-like receptor signaling pathway
TTDI00350	WP1471	TOR Signaling
TTDI00350	WP1539	Angiogenesis
TTDI00350	WP1544	MicroRNAs in cardiomyocyte hypertrophy
TTDI00350	WP1559	TFs Regulate miRNAs related to cardiac hypertrophy
TTDI00350	WP1850	Metabolism of nitric oxide
TTDI00350	WP185	Integrin-mediated Cell Adhesion
TTDI00350	WP195	IL-1 signaling pathway
TTDI00350	WP1971	Integrated Cancer pathway
TTDI00350	WP1982	SREBP signalling
TTDI00350	WP1984	Integrated Breast Cancer Pathway
TTDI00350	WP2018	RANKL/RANK Signaling Pathway
TTDI00350	WP2032	TSH signaling pathway
TTDI00350	WP2034	Leptin signaling pathway
TTDI00350	WP2035	FSH signaling pathway
TTDI00350	WP2036	TWEAK Signaling Pathway
TTDI00350	WP2038	Regulation of Microtubule Cytoskeleton
TTDI00350	WP205	IL-7 Signaling Pathway
TTDI00350	WP2112	IL17 signaling pathway
TTDI00350	WP2203	TSLP Signaling Pathway
TTDI00350	WP2261	Signaling Pathways in Glioblastoma
TTDI00350	WP2263	Prostate Cancer
TTDI00350	WP231	TNF alpha Signaling Pathway
TTDI00350	WP2324	AGE/RAGE pathway
TTDI00350	WP2332	Interleukin-11 Signaling Pathway
TTDI00350	WP2355	Corticotropin-releasing hormone
TTDI00350	WP2374	Oncostatin M Signaling Pathway
TTDI00350	WP2377	Integrated Pancreatic Cancer Pathway
TTDI00350	WP2380	BDNF signaling pathway
TTDI00350	WP23	B Cell Receptor Signaling Pathway
TTDI00350	WP244	Alpha 6 Beta 4 signaling pathway
TTDI00350	WP254	Apoptosis
TTDI00350	WP2572	Primary Focal Segmental Glomerulosclerosis FSGS
TTDI00350	WP2583	T-Cell Receptor and Co-stimulatory Signaling
TTDI00350	WP2653	PIP3 activates AKT signaling
TTDI00350	WP26	Signal Transduction of S1P Receptor
TTDI00350	WP2733	Regulation of mRNA Stability by Proteins that Bind AU-rich Elements
TTDI00350	WP2777	Translocation of GLUT4 to the Plasma Membrane
TTDI00350	WP2795	Cardiac Hypertrophic Response
TTDI00350	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer
TTDI00350	WP286	IL-3 Signaling Pathway
TTDI00350	WP2870	Extracellular vesicle-mediated signaling in recipient cells
TTDI00350	WP304	Kit receptor signaling pathway
TTDI00350	WP306	Focal Adhesion
TTDI00350	WP3286	Copper homeostasis
TTDI00350	WP363	Wnt Signaling Pathway Netpath
TTDI00350	WP364	IL-6 signaling pathway
TTDI00350	WP366	TGF beta Signaling Pathway
TTDI00350	WP382	MAPK Signaling Pathway
TTDI00350	WP395	IL-4 Signaling Pathway
TTDI00350	WP437	EGF/EGFR Signaling Pathway
TTDI00350	WP474	Endochondral Ossification
TTDI00350	WP481	Insulin Signaling
TTDI00350	WP49	IL-2 Signaling Pathway
TTDI00350	WP581	EPO Receptor Signaling
TTDI00350	WP61	Notch Signaling Pathway
TTDI00350	WP69	TCR Signaling Pathway
TTDI00350	WP710	DNA Damage Response (only ATM dependent)
TTDI00350	WP712	Estrogen signaling pathway
TTDI00350	WP75	Toll-like receptor signaling pathway
TTDI00462	WP1824	GPCR downstream signaling
TTDI00462	WP1825	GPCR ligand binding
TTDI00587	WP1850	Metabolism of nitric oxide
TTDI00605	WP1787	Base Excision Repair
TTDI00605	WP179	Cell Cycle
TTDI00605	WP1858	Mitotic G1-G1/S phases
TTDI00605	WP1925	Synthesis of DNA
TTDI00605	WP1928	Telomere Maintenance
TTDI00605	WP1980	Nucleotide Excision Repair
TTDI00605	WP2377	Integrated Pancreatic Cancer Pathway
TTDI00605	WP2446	Retinoblastoma (RB) in Cancer
TTDI00605	WP2572	Primary Focal Segmental Glomerulosclerosis FSGS
TTDI00605	WP259	Nifedipine Activity
TTDI00605	WP2772	S Phase
TTDI00605	WP437	EGF/EGFR Signaling Pathway
TTDI00605	WP45	G1 to S cell cycle control
TTDI00605	WP466	DNA Replication
TTDI00605	WP531	Mismatch repair
TTDI00605	WP615	Senescence and Autophagy in Cancer
TTDI00607	WP167	Eicosanoid Synthesis
TTDI00607	WP2650	Arachidonic acid metabolism
TTDI00641	WP1911	Signaling by FGFR
TTDI00641	WP231	TNF alpha Signaling Pathway
TTDI00641	WP2380	BDNF signaling pathway
TTDI00641	WP2436	Dopamine metabolism
TTDI00641	WP2710	Nonsense-Mediated Decay
TTDI00641	WP2757	Mitotic Metaphase and Anaphase
TTDI00641	WP2857	Mesodermal Commitment Pathway
TTDI00641	WP399	Wnt Signaling Pathway and Pluripotency
TTDI00641	WP500	Glycogen Metabolism
TTDI00711	WP2776	Visual phototransduction
TTDI00747	WP1982	SREBP signalling
TTDI00747	WP2011	SREBF and miR33 in cholesterol and lipid homeostasis
TTDI00747	WP236	Adipogenesis
TTDI00747	WP2874	Liver X Receptor Pathway
TTDI00747	WP2882	Nuclear Receptors Meta-Pathway
TTDI00747	WP357	Fatty Acid Biosynthesis
TTDI00816	WP100	Glutathione metabolism
TTDI00816	WP15	Selenium Micronutrient Network
TTDI00816	WP2882	Nuclear Receptors Meta-Pathway
TTDI00816	WP2884	NRF2 pathway
TTDI00816	WP408	Oxidative Stress
TTDI00816	WP692	Sulfation Biotransformation Reaction
TTDI00816	WP702	Metapathway biotransformation
TTDI00862	WP1851	Metabolism of nucleotides
TTDI00909	WP2670	Iron uptake and transport
TTDI00909	WP289	Myometrial Relaxation and Contraction Pathways
TTDI00909	WP536	Calcium Regulation in the Cardiac Cell
TTDI00915	WP2729	Metabolism of Angiotensinogen to Angiotensins
TTDI00915	WP554	ACE Inhibitor Pathway
TTDI00931	WP1601	Fluoropyrimidine Activity
TTDI00931	WP176	Folate Metabolism
TTDI00931	WP1850	Metabolism of nitric oxide
TTDI00931	WP1857	Metabolism of water-soluble vitamins and cofactors
TTDI00931	WP241	One Carbon Metabolism
TTDI00931	WP2446	Retinoblastoma (RB) in Cancer
TTDI00931	WP2525	Trans-sulfuration and one carbon metabolism
TTDI00931	WP404	Nucleotide Metabolism
TTDI00939	WP170	Nuclear Receptors
TTDI00939	WP1984	Integrated Breast Cancer Pathway
TTDI00939	WP2005	miR-targeted genes in muscle cell - TarBase
TTDI00939	WP2034	Leptin signaling pathway
TTDI00939	WP2377	Integrated Pancreatic Cancer Pathway
TTDI00939	WP2586	Aryl Hydrocarbon Receptor
TTDI00939	WP2593	JAK/STAT
TTDI00939	WP2781	Signaling by ERBB4
TTDI00939	WP2881	Estrogen Receptor Pathway
TTDI00939	WP2882	Nuclear Receptors Meta-Pathway
TTDI00939	WP712	Estrogen signaling pathway
TTDI00956	WP15	Selenium Micronutrient Network
TTDI00964	WP1601	Fluoropyrimidine Activity
TTDI00964	WP1851	Metabolism of nucleotides
TTDI00964	WP2002	miR-targeted genes in epithelium - TarBase
TTDI00964	WP2003	miR-targeted genes in leukocytes - TarBase
TTDI00964	WP2004	miR-targeted genes in lymphocytes - TarBase
TTDI00964	WP2005	miR-targeted genes in muscle cell - TarBase
TTDI00964	WP2377	Integrated Pancreatic Cancer Pathway
TTDI00964	WP241	One Carbon Metabolism
TTDI00964	WP2446	Retinoblastoma (RB) in Cancer
TTDI00964	WP2525	Trans-sulfuration and one carbon metabolism
TTDI00965	WP1795	Cholesterol biosynthesis
TTDI00965	WP197	Cholesterol Biosynthesis
TTDI00965	WP1982	SREBP signalling
TTDI00965	WP2706	Activation of Gene Expression by SREBP (SREBF)
TTDI00965	WP430	Statin Pathway
TTDI00967	WP1892	Protein folding
TTDI00967	WP2272	Pathogenic Escherichia coli infection
TTDI00967	WP2359	Parkin-Ubiquitin Proteasomal System pathway
TTDI00990	WP197	Cholesterol Biosynthesis
TTDI00990	WP1982	SREBP signalling
TTDI00990	WP2706	Activation of Gene Expression by SREBP (SREBF)
TTDI01008	WP2004	miR-targeted genes in lymphocytes - TarBase
TTDI01008	WP2005	miR-targeted genes in muscle cell - TarBase
TTDI01008	WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy
TTDI01014	WP1403	AMPK Signaling
TTDI01014	WP143	Fatty Acid Beta Oxidation
TTDI01022	WP1794	Cell surface interactions at the vascular wall
TTDI01022	WP1829	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
TTDI01022	WP1833	Integrin cell surface interactions
TTDI01022	WP185	Integrin-mediated Cell Adhesion
TTDI01022	WP306	Focal Adhesion
TTDI01040	WP1533	Vitamin B12 Metabolism
TTDI01040	WP15	Selenium Micronutrient Network
TTDI01040	WP176	Folate Metabolism
TTDI01040	WP1995	Effects of Nitric Oxide
TTDI01040	WP2681	Uptake of Oxygen and Release of Carbon Dioxide by Erythrocytes
TTDI01040	WP2744	Uptake of Carbon Dioxide and Release of Oxygen by Erythrocytes
TTDI01040	WP2784	Binding and Uptake of Ligands by Scavenger Receptors
TTDI01041	WP1533	Vitamin B12 Metabolism
TTDI01041	WP15	Selenium Micronutrient Network
TTDI01041	WP176	Folate Metabolism
TTDI01041	WP1815	Factors involved in megakaryocyte development and platelet production
TTDI01041	WP2681	Uptake of Oxygen and Release of Carbon Dioxide by Erythrocytes
TTDI01041	WP2744	Uptake of Carbon Dioxide and Release of Oxygen by Erythrocytes
TTDI01041	WP2784	Binding and Uptake of Ligands by Scavenger Receptors
TTDI01746	WP1449	Regulation of toll-like receptor signaling pathway
TTDI01746	WP2328	Allograft Rejection
TTDI01746	WP2873	Aryl Hydrocarbon Receptor Pathway
TTDI01746	WP2877	Vitamin D Receptor Pathway
TTDI01746	WP2882	Nuclear Receptors Meta-Pathway
TTDI01746	WP75	Toll-like receptor signaling pathway
TTDI01749	WP1824	GPCR downstream signaling
TTDI01749	WP1825	GPCR ligand binding
TTDI01749	WP2597	Secretion of Hydrochloric Acid in Parietal Cells
TTDI01749	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
TTDI01749	WP455	GPCRs, Class A Rhodopsin-like
TTDI01749	WP51	Regulation of Actin Cytoskeleton
TTDI01749	WP536	Calcium Regulation in the Cardiac Cell
TTDI01749	WP58	Monoamine GPCRs
TTDI01750	WP1824	GPCR downstream signaling
TTDI01750	WP1825	GPCR ligand binding
TTDI01750	WP1831	Integration of energy metabolism
TTDI01750	WP1884	Platelet Aggregation (Plug Formation)
TTDI01750	WP455	GPCRs, Class A Rhodopsin-like
TTDI01750	WP58	Monoamine GPCRs
TTDI01752	WP2754	Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell
TTDI01753	WP1403	AMPK Signaling
TTDI01753	WP1817	Fatty acid, triacylglycerol, and ketone body metabolism
TTDI01753	WP1982	SREBP signalling
TTDI01753	WP2034	Leptin signaling pathway
TTDI01753	WP2355	Corticotropin-releasing hormone
TTDI01753	WP2593	JAK/STAT
TTDI01753	WP2706	Activation of Gene Expression by SREBP (SREBF)
TTDI01753	WP2853	Endoderm Differentiation
TTDI01753	WP2857	Mesodermal Commitment Pathway
TTDI01753	WP357	Fatty Acid Biosynthesis
TTDI01755	WP2754	Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell
TTDI01756	WP1824	GPCR downstream signaling
TTDI01756	WP1825	GPCR ligand binding
TTDI01756	WP2197	Endothelin Pathways
TTDI01756	WP455	GPCRs, Class A Rhodopsin-like
TTDI01756	WP536	Calcium Regulation in the Cardiac Cell
TTDI01756	WP58	Monoamine GPCRs
TTDI01760	WP129	Matrix Metalloproteinases
TTDI01760	WP2324	AGE/RAGE pathway
TTDI01760	WP2769	Activation of Matrix Metalloproteinases
TTDI01762	WP1403	AMPK Signaling
TTDI01762	WP1824	GPCR downstream signaling
TTDI01762	WP1825	GPCR ligand binding
TTDI01762	WP2197	Endothelin Pathways
TTDI01762	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
TTDI01762	WP455	GPCRs, Class A Rhodopsin-like
TTDI01762	WP536	Calcium Regulation in the Cardiac Cell
TTDI01762	WP58	Monoamine GPCRs
TTDI01763	WP1824	GPCR downstream signaling
TTDI01763	WP1825	GPCR ligand binding
TTDI01763	WP2355	Corticotropin-releasing hormone
TTDI01763	WP289	Myometrial Relaxation and Contraction Pathways
TTDI01763	WP334	GPCRs, Class B Secretin-like
TTDI01764	WP1403	AMPK Signaling
TTDI01764	WP1824	GPCR downstream signaling
TTDI01764	WP1825	GPCR ligand binding
TTDI01764	WP2197	Endothelin Pathways
TTDI01764	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
TTDI01764	WP455	GPCRs, Class A Rhodopsin-like
TTDI01764	WP536	Calcium Regulation in the Cardiac Cell
TTDI01764	WP58	Monoamine GPCRs
TTDI01765	WP1818	Formation of Fibrin Clot (Clotting Cascade)
TTDI01765	WP1832	Integrin alphaIIb beta3 signaling
TTDI01765	WP1833	Integrin cell surface interactions
TTDI01765	WP272	Blood Clotting Cascade
TTDI01765	WP2806	Human Complement System
TTDI01766	WP1824	GPCR downstream signaling
TTDI01766	WP1825	GPCR ligand binding
TTDI01766	WP247	Small Ligand GPCRs
TTDI01766	WP455	GPCRs, Class A Rhodopsin-like
TTDI01767	WP1794	Cell surface interactions at the vascular wall
TTDI01767	WP1840	Interleukin-3, 5 and GM-CSF signaling
TTDI01767	WP185	Integrin-mediated Cell Adhesion
TTDI01767	WP1866	NCAM signaling for neurite out-growth
TTDI01767	WP1873	NGF signalling via TRKA from the plasma membrane
TTDI01767	WP1910	Signaling by EGFR
TTDI01767	WP1911	Signaling by FGFR
TTDI01767	WP1913	Signaling by Insulin receptor
TTDI01767	WP1916	Signaling by PDGF
TTDI01767	WP2032	TSH signaling pathway
TTDI01767	WP2034	Leptin signaling pathway
TTDI01767	WP2261	Signaling Pathways in Glioblastoma
TTDI01767	WP2263	Prostate Cancer
TTDI01767	WP2290	RalA downstream regulated genes
TTDI01767	WP231	TNF alpha Signaling Pathway
TTDI01767	WP2332	Interleukin-11 Signaling Pathway
TTDI01767	WP2374	Oncostatin M Signaling Pathway
TTDI01767	WP2380	BDNF signaling pathway
TTDI01767	WP23	B Cell Receptor Signaling Pathway
TTDI01767	WP244	Alpha 6 Beta 4 signaling pathway
TTDI01767	WP2526	PDGF Pathway
TTDI01767	WP2586	Aryl Hydrocarbon Receptor
TTDI01767	WP2593	JAK/STAT
TTDI01767	WP2643	Nanoparticle-mediated activation of receptor signaling
TTDI01767	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
TTDI01767	WP2677	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
TTDI01767	WP2694	DAP12 interactions
TTDI01767	WP2713	Signaling by SCF-KIT
TTDI01767	WP2732	Interleukin-2 signaling
TTDI01767	WP2735	RAF/MAP kinase cascade
TTDI01767	WP2746	Signaling by the B Cell Receptor (BCR)
TTDI01767	WP2754	Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell
TTDI01767	WP2759	Fc epsilon receptor (FCERI) signaling
TTDI01767	WP2780	Signaling by ERBB2
TTDI01767	WP2781	Signaling by ERBB4
TTDI01767	WP2828	Bladder Cancer
TTDI01767	WP286	IL-3 Signaling Pathway
TTDI01767	WP2870	Extracellular vesicle-mediated signaling in recipient cells
TTDI01767	WP304	Kit receptor signaling pathway
TTDI01767	WP306	Focal Adhesion
TTDI01767	WP313	Signaling of Hepatocyte Growth Factor Receptor
TTDI01767	WP35	G Protein Signaling Pathways
TTDI01767	WP400	p38 MAPK Signaling Pathway
TTDI01767	WP422	MAPK Cascade
TTDI01767	WP437	EGF/EGFR Signaling Pathway
TTDI01767	WP481	Insulin Signaling
TTDI01767	WP49	IL-2 Signaling Pathway
TTDI01767	WP560	TGF Beta Signaling Pathway
TTDI01767	WP615	Senescence and Autophagy in Cancer
TTDI01767	WP673	ErbB Signaling Pathway
TTDI01767	WP69	TCR Signaling Pathway
TTDI01767	WP710	DNA Damage Response (only ATM dependent)
TTDI01767	WP732	Serotonin Receptor 2 and ELK-SRF/GATA4 signaling
TTDI01768	WP1794	Cell surface interactions at the vascular wall
TTDI01768	WP1833	Integrin cell surface interactions
TTDI01768	WP1843	L1CAM interactions
TTDI01768	WP185	Integrin-mediated Cell Adhesion
TTDI01768	WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy
TTDI01768	WP2666	Elastic fibre formation
TTDI01768	WP2703	Extracellular matrix organization
TTDI01768	WP306	Focal Adhesion
TTDI01769	WP1824	GPCR downstream signaling
TTDI01769	WP1825	GPCR ligand binding
TTDI01769	WP24	Peptide GPCRs
TTDI01769	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
TTDI01769	WP2877	Vitamin D Receptor Pathway
TTDI01769	WP455	GPCRs, Class A Rhodopsin-like
TTDI01769	WP51	Regulation of Actin Cytoskeleton
TTDI01769	WP554	ACE Inhibitor Pathway
TTDI01769	WP558	Complement and Coagulation Cascades
TTDI01771	WP404	Nucleotide Metabolism
TTDI01772	WP1824	GPCR downstream signaling
TTDI01772	WP1825	GPCR ligand binding
TTDI01772	WP24	Peptide GPCRs
TTDI01772	WP455	GPCRs, Class A Rhodopsin-like
TTDI01773	WP1794	Cell surface interactions at the vascular wall
TTDI01773	WP231	TNF alpha Signaling Pathway
TTDI01773	WP2806	Human Complement System
TTDI01774	WP2670	Iron uptake and transport
TTDI01774	WP2754	Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell
TTDI01774	WP706	SIDS Susceptibility Pathways
TTDI01775	WP127	IL-5 Signaling Pathway
TTDI01775	WP1434	Osteopontin Signaling
TTDI01775	WP1449	Regulation of toll-like receptor signaling pathway
TTDI01775	WP1544	MicroRNAs in cardiomyocyte hypertrophy
TTDI01775	WP1843	L1CAM interactions
TTDI01775	WP185	Integrin-mediated Cell Adhesion
TTDI01775	WP1911	Signaling by FGFR
TTDI01775	WP195	IL-1 signaling pathway
TTDI01775	WP2018	RANKL/RANK Signaling Pathway
TTDI01775	WP2032	TSH signaling pathway
TTDI01775	WP2034	Leptin signaling pathway
TTDI01775	WP205	IL-7 Signaling Pathway
TTDI01775	WP2197	Endothelin Pathways
TTDI01775	WP2203	TSLP Signaling Pathway
TTDI01775	WP2261	Signaling Pathways in Glioblastoma
TTDI01775	WP2263	Prostate Cancer
TTDI01775	WP22	IL-9 Signaling Pathway
TTDI01775	WP2324	AGE/RAGE pathway
TTDI01775	WP2332	Interleukin-11 Signaling Pathway
